Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrTimeBlk,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2005,2,5,30,1,2005-05-30,DL,N900PC,1798,ATL,"Atlanta, GA",GA,BNA,"Nashville, TN",TN,1458,1452.0,-6.0,0.0,0.0,1400-1459,15.0,1507.0,1443.0,7.0,1459,1450.0,-9.0,0.0,0.0,1400-1459,61.0,58.0,36.0,214.0,1,0.0,0.0,0.0,0.0,0.0
2005,2,4,20,3,2005-04-20,MQ,N858AE,3525,DFW,"Dallas/Fort Worth, TX",TX,CID,"Cedar Rapids/Iowa City, IA",IA,808,805.0,-3.0,0.0,0.0,0800-0859,11.0,816.0,948.0,10.0,1001,958.0,-3.0,0.0,0.0,1000-1059,113.0,113.0,92.0,685.0,3,0.0,0.0,0.0,0.0,0.0
2011,1,1,18,2,2011-01-18,FL,N344AT,817,BWI,"Baltimore, MD",MD,BOS,"Boston, MA",MA,2125,2117.0,-8.0,0.0,0.0,2100-2159,37.0,2154.0,2245.0,6.0,2245,2251.0,6.0,6.0,0.0,2200-2259,80.0,94.0,51.0,370.0,2,0.0,0.0,0.0,0.0,0.0
2018,4,10,17,3,2018-10-17,OO,N629BR,7376,BTM,"Butte, MT",MT,SLC,"Salt Lake City, UT",UT,625,612.0,-13.0,0.0,0.0,0600-0659,23.0,635.0,728.0,8.0,750,736.0,-14.0,0.0,0.0,0700-0759,85.0,84.0,53.0,358.0,2,0.0,0.0,0.0,0.0,0.0
2010,3,9,28,2,2010-09-28,WN,N236WN,299,LBB,"Lubbock, TX",TX,DAL,"Dallas, TX",TX,845,844.0,-1.0,0.0,0.0,0800-0859,7.0,851.0,942.0,4.0,950,946.0,-4.0,0.0,0.0,0900-0959,65.0,62.0,51.0,293.0,2,0.0,0.0,0.0,0.0,0.0
2012,2,5,20,7,2012-05-20,AA,N4YAAA,768,LAX,"Los Angeles, CA",CA,STL,"St. Louis, MO",MO,1625,1622.0,-3.0,0.0,0.0,1600-1659,14.0,1636.0,2150.0,5.0,2155,2155.0,0.0,0.0,0.0,2100-2159,210.0,213.0,194.0,1592.0,7,0.0,0.0,0.0,0.0,0.0
2007,3,7,29,7,2007-07-29,WN,N275WN,240,CLE,"Cleveland, OH",OH,MCO,"Orlando, FL",FL,1835,1945.0,70.0,70.0,1.0,1800-1859,7.0,1952.0,2147.0,10.0,2055,2157.0,62.0,62.0,1.0,2000-2059,140.0,132.0,115.0,895.0,4,1.0,0.0,0.0,0.0,61.0
2010,1,1,11,1,2010-01-11,XE,N14188,2352,EWR,"Newark, NJ",NJ,OMA,"Omaha, NE",NE,800,757.0,-3.0,0.0,0.0,0800-0859,34.0,831.0,1010.0,5.0,1028,1015.0,-13.0,0.0,0.0,1000-1059,208.0,198.0,159.0,1133.0,5,0.0,0.0,0.0,0.0,0.0
2019,3,9,28,6,2019-09-28,AA,N184AN,2690,DFW,"Dallas/Fort Worth, TX",TX,BOS,"Boston, MA",MA,1659,1655.0,-4.0,0.0,0.0,1600-1659,16.0,1711.0,2114.0,7.0,2147,2121.0,-26.0,0.0,0.0,2100-2159,228.0,206.0,183.0,1562.0,7,0.0,0.0,0.0,0.0,0.0
2008,1,1,24,4,2008-01-24,XE,N16147,2733,GSP,"Greer, SC",SC,IAH,"Houston, TX",TX,1825,1854.0,29.0,29.0,1.0,1800-1859,9.0,1903.0,2019.0,7.0,1958,2026.0,28.0,28.0,1.0,1900-1959,153.0,152.0,136.0,838.0,4,0.0,0.0,28.0,0.0,0.0
2009,4,12,6,7,2009-12-06,WN,N405WN,1050,BWI,"Baltimore, MD",MD,ALB,"Albany, NY",NY,2050,2054.0,4.0,4.0,0.0,2000-2059,7.0,2101.0,2152.0,4.0,2200,2156.0,-4.0,0.0,0.0,2200-2259,70.0,62.0,51.0,288.0,2,0.0,0.0,0.0,0.0,0.0
2006,4,11,20,1,2006-11-20,UA,N485UA,1480,LAS,"Las Vegas, NV",NV,IAD,"Washington, DC",VA,825,824.0,-1.0,0.0,0.0,0800-0859,12.0,836.0,1604.0,5.0,1550,1609.0,19.0,19.0,1.0,1500-1559,265.0,285.0,268.0,2066.0,9,0.0,0.0,19.0,0.0,0.0
2008,4,10,8,3,2008-10-08,9E,86239E,5838,DTW,"Detroit, MI",MI,CWA,"Mosinee, WI",WI,906,902.0,-4.0,0.0,0.0,0900-0959,34.0,936.0,942.0,4.0,935,946.0,11.0,11.0,0.0,0900-0959,89.0,104.0,66.0,363.0,2,0.0,0.0,0.0,0.0,0.0
2007,1,1,31,3,2007-01-31,YV,N37178,2751,FAT,"Fresno, CA",CA,PHX,"Phoenix, AZ",AZ,610,600.0,-10.0,0.0,0.0,0600-0659,7.0,607.0,822.0,6.0,850,828.0,-22.0,0.0,0.0,0800-0859,100.0,88.0,75.0,493.0,2,0.0,0.0,0.0,0.0,0.0
2014,3,9,9,2,2014-09-09,EV,N919EV,5138,DTW,"Detroit, MI",MI,EVV,"Evansville, IN",IN,2000,1955.0,-5.0,0.0,0.0,2000-2059,16.0,2011.0,2007.0,4.0,2026,2011.0,-15.0,0.0,0.0,2000-2059,86.0,76.0,56.0,363.0,2,0.0,0.0,0.0,0.0,0.0
2013,2,6,22,6,2013-06-22,OO,N492SW,4551,RDM,"Bend/Redmond, OR",OR,SLC,"Salt Lake City, UT",UT,620,611.0,-9.0,0.0,0.0,0600-0659,8.0,619.0,831.0,4.0,854,835.0,-19.0,0.0,0.0,0800-0859,94.0,84.0,72.0,525.0,3,0.0,0.0,0.0,0.0,0.0
2011,4,10,12,3,2011-10-12,DL,N533US,1018,ATL,"Atlanta, GA",GA,MSY,"New Orleans, LA",LA,940,939.0,-1.0,0.0,0.0,0900-0959,14.0,953.0,1002.0,5.0,1024,1007.0,-17.0,0.0,0.0,1000-1059,104.0,88.0,69.0,425.0,2,0.0,0.0,0.0,0.0,0.0
